,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
266,115.73633,,92.757904,132.97823,,103.812706,2.2325234
267,120.810715,,83.86864,133.5018,,173.26169,2.1336465
268,121.79218,,85.82069,133.97034,,158.52473,2.1578767
269,118.891045,,85.95331,134.49544,,135.75185,2.2017772
270,117.55478,,83.590096,135.01958,,427.14584,2.1874943
271,118.29209,,77.48165,135.48863,,1111.2555,2.139618
272,116.08299,,74.28027,136.0121,,1852.5262,2.137088
273,113.381905,,74.52014,136.48291,,1950,2.1799483
274,116.16436,,68.97862,137.0057,,1821.6879,2.1583226
275,118.489944,,68.05699,137.4755,,1361.6982,2.120234
276,118.63382,,75.349365,137.99884,,743.4775,2.1343193
277,119.11536,,79.6325,138.52225,,1010.07184,2.1419187
278,119.372406,,79.79878,138.99187,,1577.5087,2.1402912
279,119.851036,,76.84544,139.51491,,1929.66,2.126745
280,120.24741,,73.07976,139.98553,,1528.1735,2.1024106
281,116.14113,,73.94691,140.50908,,616.7689,2.1399426
282,110.118256,,81.65509,140.97801,,163.65681,2.2395072
283,108.83707,,90.4976,141.50238,,78.50419,2.302247
284,114.95716,,85.72115,142.02722,,123.469826,2.2060199
285,118.7599,,82.98398,142.4959,,138.93758,2.1555657
286,116.51363,,86.42248,143.01944,,80.6403,2.1730216
287,105.8641,,99.42015,143.48984,,35.776882,2.294154
288,104.023575,,101.21287,144.01338,,31.166973,2.3550358
289,118.596825,,87.97074,144.48276,,28.090727,2.2419238
290,129.9928,,81.49557,145.00618,,25.446184,2.1694372
291,123.09021,,84.21122,145.52951,,28.864416,2.1919205
292,112.322205,,87.22133,145.99951,,28.346203,2.2260492
293,100.32068,,92.69306,146.52184,,30.456518,2.282425
294,97.85958,,97.484665,146.99292,,32.710266,2.308909
295,103.59342,,90.8625,147.51636,,27.213787,2.260695
296,104.67937,,84.5953,147.98564,,23.6093,2.2276137
297,103.08531,,79.4155,148.50931,,25.403982,2.2263193
298,103.6028,,73.313255,148.96587,,24.73757,2.208967
299,103.7789,,72.53241,149.51917,,22.288698,2.210157
300,103.309685,,75.172874,149.9718,,25.356642,2.2316139
301,101.87833,,77.38515,150.49677,,29.437834,2.243972
302,100.07244,,81.854965,151.02104,,27.631542,2.2438843
303,98.489334,,85.366165,151.49005,,26.46497,2.2578611
304,99.270935,,81.73027,151.98936,,23.022385,2.2559962
305,104.595375,,72.496895,152.48918,,20.1201,2.2208195
306,108.52567,,69.96519,153.00719,,17.809128,2.1982732
307,109.05586,,72.76236,153.47688,,16.139057,2.1982045
308,108.13619,,74.29718,154.00023,,18.095917,2.2046304
309,107.17346,,74.729485,154.52364,,18.721329,2.2057788
310,107.235695,,76.71298,154.99333,,17.850315,2.199911
311,107.11165,,84.195656,155.51625,,17.908184,2.2254052
312,105.79061,,86.832825,155.98695,,17.24315,2.2383938
313,101.36818,,81.92783,156.51047,,18.851013,2.2112055
314,97.88934,,78.206245,156.97948,,22.292414,2.2194138
315,98.095375,,80.97065,157.50371,,23.898535,2.2732756
316,97.648445,,89.76342,158.02869,,22.766085,2.3206758
317,98.65878,,84.722305,158.4973,,23.01857,2.293335
318,101.914246,,77.50495,159.02086,,27.002466,2.2486012
319,102.12925,,84.747086,159.49117,,29.056099,2.2587826
320,101.50212,,85.437965,160.01485,,27.309416,2.259374
321,103.02202,,79.154945,160.48413,,24.327042,2.2498162
322,104.88955,,76.41663,161.00758,,21.639915,2.2518048
323,104.32792,,77.686615,161.47864,,22.071083,2.2574728
324,103.7423,,77.81015,162.00099,,19.356586,2.24013
325,102.12189,,76.35622,162.47098,,20.1246,2.2385972
326,99.77643,,75.67483,162.99431,,23.994432,2.2561035
327,99.340324,,77.585976,163.51775,,21.441442,2.2525811
328,100.05736,,74.55431,163.98714,,17.616785,2.2332964
329,101.621826,,73.944534,164.51064,,14.514066,2.2158544
330,103.364784,,74.87081,164.98105,,13.9147,2.211887
331,103.4073,,85.99723,165.5046,,17.8285,2.2616427
332,103.15768,,93.04895,165.97328,,20.5545,2.2919822
333,104.69194,,82.9217,166.49811,,20.143583,2.24762
334,105.77394,,78.030785,167.0225,,20.383957,2.2085602
335,105.69661,,77.72203,167.49142,,20.389387,2.2110934
336,104.596756,,78.23094,168.01494,,20.076384,2.232647
337,102.06595,,84.10843,168.48557,,19.8478,2.2688894
338,99.53991,,87.304146,169.00865,,19.621128,2.2910006
339,97.61456,,86.808304,169.47827,,19.5666,2.2850595
340,96.19564,,89.59998,170.00166,,21.828033,2.3030431
341,98.95617,,91.356384,170.52502,,21.244287,2.30442
342,101.438866,,84.05454,170.9948,,18.799473,2.2681916
343,100.88478,,76.189125,171.51758,,19.975565,2.2653856
344,101.37005,,78.992294,171.9884,,20.462584,2.2714527
345,103.47957,,82.073425,172.51187,,18.747358,2.2475617
346,104.85074,,80.73989,172.98094,,18.195543,2.2294085
347,105.474075,,80.946495,173.50505,,16.69325,2.2159147
348,105.664,,84.31593,174.03018,,15.20917,2.2195883
349,103.24728,,90.35329,174.4987,,13.942657,2.2451556
350,98.42935,,104.8603,175.02226,,16.168034,2.3289957
351,99.34097,,96.1083,175.49251,,17.212984,2.328784
352,103.36133,,76.303986,176.01633,,14.280157,2.2391682
353,104.1107,,76.97286,176.48553,,14.960386,2.2237256
354,104.88573,,79.334236,177.00899,,17.060884,2.2379746
355,106.64252,,76.31184,177.47998,,16.400217,2.228721
356,103.686905,,77.08283,178.00249,,16.365686,2.2466013
357,100.72096,,78.384636,178.47238,,17.9751,2.267333
358,101.091225,,77.070526,178.99571,,19.197834,2.253415
359,100.78485,,75.326294,179.51915,,21.24747,2.2514834
360,98.379616,,73.5927,179.98863,,22.3367,2.26243
361,98.02148,,76.400154,180.51198,,22.810816,2.2839813
362,98.419014,,81.22841,180.98244,,23.234884,2.2908623
363,98.37668,,84.28767,181.506,,20.344957,2.3110495
364,98.72139,,86.48446,181.97478,,17.21837,2.3394005
365,94.07839,,87.71048,182.49945,,17.558584,2.3585694
366,90.51349,,91.81162,183.02397,,16.984644,2.4349735
367,97.76283,,108.33717,183.49283,,11.347528,2.501494
368,101.86936,,117.013245,184.01636,,6.700767,2.5060594
369,93.06543,,96.47369,184.48691,,10.485416,2.4769113
370,93.8054,,92.57861,185.01012,,11.9119425,2.4776115
371,96.76437,,104.856544,185.47968,,9.991457,2.4916618
372,89.58181,,92.90789,186.00308,,13.868018,2.4463298
373,87.08544,,77.5562,186.52646,,18.942987,2.420401
374,92.43586,,92.568214,186.99626,,16.663185,2.4659
375,98.51618,,113.32634,187.5189,,11.322266,2.5192866
376,99.83568,,120.5873,187.98982,,9.226466,2.5271244
377,96.80553,,117.27809,188.51328,,9.590829,2.5192091
378,93.83088,,103.4432,188.9824,,12.467528,2.49511
379,91.37076,,90.10579,189.50638,,16.21505,2.4204257
380,90.52669,,86.9988,190.00563,,20.958513,2.3823137
381,91.8791,,89.97609,190.5001,,20.672699,2.4031997
382,93.73303,,94.4223,190.96855,,17.140285,2.4482763
383,95.492615,,96.13391,191.49384,,16.31865,2.4690833
384,98.41864,,107.19497,192.01779,,14.515486,2.4740338
385,97.54753,,113.71437,192.48695,,13.992671,2.4852376
386,94.445465,,100.35074,193.01039,,16.0228,2.4464703
387,94.70651,,101.11145,193.48131,,14.553218,2.4575472
388,96.51698,,112.39429,194.00394,,12.913886,2.5163138
389,100.15645,,118.81732,194.47379,,11.250958,2.5351996
390,105.02539,,127.75994,194.99713,,8.691216,2.5393476
391,104.750755,,134.30188,195.52055,,7.8531713,2.5345595
392,98.02899,,120.27173,195.9901,,8.885015,2.527488
393,89.60695,,87.81586,196.5133,,11.705067,2.5225625
